"Column Name","Label"
"DP4_0088C","Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units!!Without telephone service available"
"DP4_0088CA","Annotation of Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units!!Without telephone service available"
"DP4_0089C","Number!!COMPUTER AND INTERNET USE!!Occupied housing units"
"DP4_0089CA","Annotation of Number!!COMPUTER AND INTERNET USE!!Occupied housing units"
"DP4_0090C","Number!!COMPUTER AND INTERNET USE!!Occupied housing units!!With a computer"
"DP4_0090CA","Annotation of Number!!COMPUTER AND INTERNET USE!!Occupied housing units!!With a computer"
"DP4_0091C","Number!!COMPUTER AND INTERNET USE!!Occupied housing units!!With a broadband Internet subscription"
"DP4_0091CA","Annotation of Number!!COMPUTER AND INTERNET USE!!Occupied housing units!!With a broadband Internet subscription"
"DP4_0092C","Number!!VALUE!!Owner-occupied housing units"
"DP4_0092CA","Annotation of Number!!VALUE!!Owner-occupied housing units"
"DP4_0093C","Number!!VALUE!!Owner-occupied housing units!!Less than $10,000"
"DP4_0093CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!Less than $10,000"
"DP4_0094C","Number!!VALUE!!Owner-occupied housing units!!$10,000 to $19,999"
"DP4_0094CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$10,000 to $19,999"
"DP4_0095C","Number!!VALUE!!Owner-occupied housing units!!$20,000 to $29,999"
"DP4_0095CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$20,000 to $29,999"
"DP4_0096C","Number!!VALUE!!Owner-occupied housing units!!$30,000 to $39,999"
"DP4_0096CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$30,000 to $39,999"
"DP4_0097C","Number!!VALUE!!Owner-occupied housing units!!$40,000 to $49,999"
"DP4_0097CA","Annotation of Number!!VALUE!!Owner-occupied housing units!!$40,000 to $49,999"
"DP4_0098C","Number!!VALUE!!Owner-occupied housing units!!$50,000 to $59,999"
