,county_subdivision_name,county_subdivision_fips,county_fips,num_septic_tanks,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
177,Melbourne Shores-Floridana Beach,92119,9,211,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
178,Merritt Island,92132,9,608,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
179,Mexico Beach,92145,5,26,37460.0,"Panama City, FL",Metropolitan Statistical Area,Central
180,Miami,92158,86,16325,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
181,Miami Beach,92171,86,141,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
182,Miami Gardens,92175,86,585,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
183,Micanopy,92184,1,355,23540.0,"Gainesville, FL",Metropolitan Statistical Area,Central
184,Middle Keys,92210,87,1246,28580.0,"Key West, FL",Micropolitan Statistical Area,Central
185,Middleburg-Clay Hill,92197,19,5278,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
186,Midway,92218,113,2496,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
187,Milton,92223,113,276,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
188,Miramar-Pembroke Pines,92236,11,888,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
189,Monticello,92249,65,857,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Outlying
190,Mount Dora,92262,69,1656,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
191,Munson,92276,113,273,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
192,Myakka City,92290,81,2169,35840.0,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Central
193,Naples,92301,21,7518,34940.0,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,Central
194,Navarre Beach,92309,113,1,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
195,New Port Richey,92327,101,5340,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
196,New Smyrna Beach,92340,127,2523,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
197,Newberry-Archer,92314,1,2922,23540.0,"Gainesville, FL",Metropolitan Statistical Area,Central
198,Niceville-Valparaiso,92353,91,673,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
199,North Columbia,92366,23,20,29380.0,"Lake City, FL",Micropolitan Statistical Area,Central
200,North Fort Myers,92392,71,598,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
201,North Okeechobee,92405,93,1103,36380.0,"Okeechobee, FL",Micropolitan Statistical Area,Central
202,North Peninsula,92418,127,1570,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
