,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
2474,WI,55,Price,Price County,99,5149.0,900.0,True,,,Rural Area,
2475,WI,55,Green,Green County,45,19162.0,375.0,True,31540.0,"Madison, WI",Metropolitan Statistical Area,Outlying
2476,WI,55,Sawyer,Sawyer County,113,3262.0,1466.0,True,,,Rural Area,
2477,WI,55,Burnett,Burnett County,13,3476.0,0.0,True,,,Rural Area,
2478,WI,55,Rock,Rock County,105,133405.0,1050.0,True,27500.0,"Janesville-Beloit, WI",Metropolitan Statistical Area,Central
2479,WI,55,Green Lake,Green Lake County,47,12240.0,366.0,True,,,Rural Area,
2480,WI,55,Manitowoc,Manitowoc County,71,59977.0,1457.0,True,31820.0,"Manitowoc, WI",Micropolitan Statistical Area,Central
2481,WI,55,Jackson,Jackson County,53,9259.0,529.0,True,,,Rural Area,
2482,WI,55,Dane,Dane County,25,435908.0,512.0,True,31540.0,"Madison, WI",Metropolitan Statistical Area,Central
2483,WI,55,Calumet,Calumet County,15,20992.0,0.0,True,11540.0,"Appleton, WI",Metropolitan Statistical Area,Central
2484,WI,55,Washburn,Washburn County,129,5098.0,550.0,True,,,Rural Area,
2485,WI,55,Polk,Polk County,95,16525.0,100.0,True,,,Rural Area,
2486,WI,55,Iowa,Iowa County,49,13191.0,497.0,True,31540.0,"Madison, WI",Metropolitan Statistical Area,Outlying
2487,WI,55,Pierce,Pierce County,93,25453.0,2587.0,True,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Outlying
2488,WI,55,Kewaunee,Kewaunee County,61,9419.0,0.0,True,24580.0,"Green Bay, WI",Metropolitan Statistical Area,Outlying
2489,WI,55,Washington,Washington County,131,81148.0,63.0,True,33340.0,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,Outlying
2490,WI,55,Buffalo,Buffalo County,11,5659.0,0.0,True,,,Rural Area,
2491,WI,55,Milwaukee,Milwaukee County,79,959618.0,1400.0,True,33340.0,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,Central
2492,WI,55,Adams,Adams County,1,2672.0,0.0,True,,,Rural Area,
2493,WI,55,Richland,Richland County,103,10861.0,275.0,True,,,Rural Area,
2494,WI,55,St. Croix,St. Croix County,109,41732.0,12.0,True,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Outlying
2495,WI,55,Wood,Wood County,141,52826.0,745.0,True,49220.0,"Wisconsin Rapids-Marshfield, WI",Micropolitan Statistical Area,Central
2496,WI,55,Fond du Lac,Fond du Lac County,39,88342.0,2826.0,True,22540.0,"Fond du Lac, WI",Metropolitan Statistical Area,Central
2497,WI,55,Portage,Portage County,97,42996.0,0.0,True,44620.0,"Stevens Point, WI",Micropolitan Statistical Area,Central
2498,WI,55,Shawano,Shawano County,115,23306.0,376.0,True,43020.0,"Shawano, WI",Micropolitan Statistical Area,Central
2499,WI,55,Columbia,Columbia County,21,36744.0,8073.0,True,31540.0,"Madison, WI",Metropolitan Statistical Area,Outlying
2500,WI,55,Trempealeau,Trempealeau County,121,14762.0,4095.0,True,,,Rural Area,
2501,WI,55,Dodge,Dodge County,27,45147.0,700.0,True,13180.0,"Beaver Dam, WI",Micropolitan Statistical Area,Central
2502,WI,55,Barron,Barron County,5,21400.0,4004.0,True,,,Rural Area,
2503,WI,55,Bayfield,Bayfield County,7,5572.0,375.0,True,,,Rural Area,
2504,WI,55,Oneida,Oneida County,85,10468.0,1842.0,True,,,Rural Area,
2505,WI,55,Pepin,Pepin County,91,3404.0,109.0,True,,,Rural Area,
2506,WI,55,Waushara,Waushara County,137,9665.0,0.0,True,,,Rural Area,
2507,WI,55,Waupaca,Waupaca County,135,28976.0,2809.0,True,,,Rural Area,
2508,WI,55,Sauk,Sauk County,111,38845.0,26981.0,True,12660.0,"Baraboo, WI",Micropolitan Statistical Area,Central
2509,WI,55,Marinette,Marinette County,75,20111.0,350.0,True,31940.0,"Marinette, WI-MI",Micropolitan Statistical Area,Central
2510,WI,55,Sheboygan,Sheboygan County,117,95765.0,3375.0,True,43100.0,"Sheboygan, WI",Metropolitan Statistical Area,Central
2511,WI,55,Rusk,Rusk County,107,5295.0,356.0,True,,,Rural Area,
2512,WI,55,Forest,Forest County,41,4045.0,0.0,True,,,Rural Area,
2513,WI,55,Winnebago,Winnebago County,139,154962.0,40.0,True,36780.0,"Oshkosh-Neenah, WI",Metropolitan Statistical Area,Central
2514,WI,55,Waukesha,Waukesha County,133,313472.0,700.0,True,33340.0,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,Central
2515,IN,18,Martin,Martin County,101,10058.0,0.0,True,,,Rural Area,
2516,IN,18,Hendricks,Hendricks County,63,65505.0,0.0,True,26900.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central
2517,IN,18,Posey,Posey County,129,10190.0,0.0,True,21780.0,"Evansville, IN-KY",Metropolitan Statistical Area,Outlying
2518,IN,18,Bartholomew,Bartholomew County,5,44422.0,10.0,True,18020.0,"Columbus, IN",Metropolitan Statistical Area,Central
2519,IN,18,Tippecanoe,Tippecanoe County,157,96225.0,0.0,True,29200.0,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Central
2520,IN,18,Carroll,Carroll County,15,6318.0,0.0,True,29200.0,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Outlying
2521,IN,18,Vermillion,Vermillion County,165,8161.0,0.0,True,45460.0,"Terre Haute, IN",Metropolitan Statistical Area,Outlying
