,"County, State",Percent of occupied housing units lacking complete plumbing facilities
1458,"Lawrence County, Ohio",0.4
1459,"Randolph County, Indiana",0.4
1460,"Ripley County, Indiana",0.4
1461,"Bee County, Texas",0.4
1462,"Las Animas County, Colorado",0.4
1463,"Walsh County, North Dakota",0.4
1464,"Shawnee County, Kansas",0.4
1465,"Brazoria County, Texas",0.4
1466,"Bowie County, Texas",0.4
1467,"Madison County, Montana",0.4
1468,"Emporia city, Virginia",0.4
1469,"Fredericksburg city, Virginia",0.4
1470,"Allen County, Ohio",0.4
1471,"Stafford County, Kansas",0.4
1472,"Ashtabula County, Ohio",0.4
1473,"Washington County, Kansas",0.4
1474,"Hill County, Montana",0.4
1475,"Athens County, Ohio",0.4
1476,"Larimer County, Colorado",0.4
1477,"Norfolk city, Virginia",0.4
1478,"La Plata County, Colorado",0.4
1479,"Harvey County, Kansas",0.4
1480,"Pickens County, Georgia",0.4
1481,"Pierce County, Georgia",0.4
1482,"Addison County, Vermont",0.4
1483,"Stone County, Missouri",0.4
1484,"Glynn County, Georgia",0.4
1485,"Clayton County, Georgia",0.4
1486,"Faribault County, Minnesota",0.4
1487,"Pottawattamie County, Iowa",0.4
1488,"Crow Wing County, Minnesota",0.4
1489,"Brookings County, South Dakota",0.4
1490,"Dauphin County, Pennsylvania",0.4
1491,"Bradley County, Arkansas",0.4
1492,"Chisago County, Minnesota",0.4
1493,"Montgomery County, Maryland",0.4
1494,"San Saba County, Texas",0.4
1495,"Bibb County, Georgia",0.4
1496,"Bartow County, Georgia",0.4
1497,"Blue Earth County, Minnesota",0.4
1498,"Pima County, Arizona",0.4
1499,"Beltrami County, Minnesota",0.4
1500,"Marshall County, Illinois",0.4
1501,"York County, South Carolina",0.4
1502,"Cochise County, Arizona",0.4
1503,"Van Buren County, Michigan",0.4
1504,"Rusk County, Texas",0.4
1505,"Osceola County, Iowa",0.4
1506,"Dodge County, Minnesota",0.4
1507,"Bleckley County, Georgia",0.4
1508,"Suwannee County, Florida",0.4
1509,"Keokuk County, Iowa",0.4
1510,"Jasper County, Iowa",0.4
1511,"Knox County, Maine",0.4
1512,"Otter Tail County, Minnesota",0.4
1513,"Taylor County, Texas",0.4
1514,"Sagadahoc County, Maine",0.4
1515,"Adams County, Pennsylvania",0.4
1516,"Morrison County, Minnesota",0.4
1517,"Beaver County, Pennsylvania",0.4
1518,"York County, Maine",0.4
1519,"Clay County, South Dakota",0.4
1520,"Blair County, Pennsylvania",0.4
1521,"Ellis County, Oklahoma",0.4
1522,"Greene County, Arkansas",0.4
1523,"Grant County, Arkansas",0.4
1524,"Warren County, New York",0.4
1525,"Uinta County, Wyoming",0.4
1526,"Tioga County, New York",0.4
1527,"Smith County, Texas",0.4
1528,"Desha County, Arkansas",0.4
1529,"Baltimore city, Maryland",0.4
1530,"McLean County, Illinois",0.4
1531,"Alamance County, North Carolina",0.4
1532,"Lee County, South Carolina",0.4
1533,"Jasper County, Illinois",0.4
1534,"Jackson County, Alabama",0.4
1535,"Jackson County, Michigan",0.4
1536,"Essex County, New York",0.4
1537,"Fayette County, Alabama",0.4
1538,"Mahaska County, Iowa",0.4
1539,"Niagara County, New York",0.4
1540,"Jackson County, Illinois",0.4
1541,"Cullman County, Alabama",0.4
1542,"Genesee County, Michigan",0.4
1543,"Emmet County, Michigan",0.4
1544,"Anderson County, South Carolina",0.4
1545,"Cleburne County, Alabama",0.4
1546,"Real County, Texas",0.4
1547,"Franklin County, Illinois",0.4
1548,"Calhoun County, Alabama",0.4
1549,"Chippewa County, Michigan",0.4
1550,"Grundy County, Illinois",0.4
1551,"Cass County, Michigan",0.4
1552,"Fayette County, Illinois",0.4
1553,"Lauderdale County, Alabama",0.4
1554,"Lehigh County, Pennsylvania",0.4
1555,"Lexington County, South Carolina",0.4
1556,"Muscatine County, Iowa",0.4
1557,"Shelby County, Alabama",0.4
1558,"Lawrence County, Illinois",0.4
1559,"Morgan County, Alabama",0.4
1560,"Montgomery County, Alabama",0.4
1561,"Monroe County, Pennsylvania",0.4
1562,"Oceana County, Michigan",0.4
1563,"Chenango County, New York",0.4
1564,"Monroe County, Michigan",0.4
1565,"Oconee County, South Carolina",0.4
1566,"Philadelphia County, Pennsylvania",0.4
1567,"Knox County, Illinois",0.4
1568,"Kendall County, Illinois",0.4
1569,"Macon County, Alabama",0.4
1570,"Marquette County, Michigan",0.4
1571,"Kankakee County, Illinois",0.4
1572,"Panola County, Texas",0.4
1573,"Limestone County, Alabama",0.4
1574,"Johnson County, Illinois",0.4
1575,"Terry County, Texas",0.4
1576,"Lafayette County, Arkansas",0.4
1577,"Miami-Dade County, Florida",0.4
1578,"Orleans Parish, Louisiana",0.4
1579,"Carroll County, Georgia",0.4
1580,"Hinds County, Mississippi",0.4
1581,"Elmore County, Idaho",0.4
1582,"Limestone County, Texas",0.4
1583,"Le Flore County, Oklahoma",0.4
1584,"Passaic County, New Jersey",0.4
1585,"Del Norte County, California",0.4
1586,"Columbus County, North Carolina",0.4
1587,"Kootenai County, Idaho",0.4
1588,"Caldwell County, North Carolina",0.4
1589,"Madison County, Idaho",0.4
1590,"Sequoyah County, Oklahoma",0.4
1591,"Saline County, Arkansas",0.4
1592,"Pierce County, Wisconsin",0.4
1593,"Lipscomb County, Texas",0.4
1594,"Kiowa County, Oklahoma",0.4
1595,"Wayne County, Kentucky",0.4
1596,"Carroll County, Tennessee",0.4
1597,"Contra Costa County, California",0.4
1598,"Bernalillo County, New Mexico",0.4
1599,"Marathon County, Wisconsin",0.4
1600,"Bienville Parish, Louisiana",0.4
1601,"Hardin County, Iowa",0.4
1602,"Dunn County, Wisconsin",0.4
1603,"Clinton County, Indiana",0.4
1604,"Alameda County, California",0.4
1605,"Iowa County, Wisconsin",0.4
1606,"Major County, Oklahoma",0.4
1607,"Marshall County, Oklahoma",0.4
1608,"Jackson Parish, Louisiana",0.4
1609,"Douglas County, Wisconsin",0.4
1610,"Cleveland County, North Carolina",0.4
1611,"Pearl River County, Mississippi",0.4
1612,"Coffey County, Kansas",0.4
1613,"Woodruff County, Arkansas",0.4
1614,"Butte County, Idaho",0.4
1615,"Manitowoc County, Wisconsin",0.4
1616,"Pike County, Mississippi",0.4
1617,"Cumberland County, New Jersey",0.4
1618,"Eau Claire County, Wisconsin",0.4
1619,"Jefferson County, Oklahoma",0.4
1620,"Deschutes County, Oregon",0.4
1621,"Kern County, California",0.4
1622,"Schuyler County, Illinois",0.4
1623,"Bear Lake County, Idaho",0.4
1624,"Scott County, Kentucky",0.4
1625,"Wabasha County, Minnesota",0.4
1626,"Swift County, Minnesota",0.4
1627,"Steele County, Minnesota",0.4
1628,"Randolph County, Illinois",0.4
1629,"Wharton County, Texas",0.4
1630,"Lane County, Oregon",0.4
1631,"Sherburne County, Minnesota",0.4
1632,"Linn County, Oregon",0.4
1633,"Pulaski County, Illinois",0.4
1634,"Pope County, Illinois",0.4
1635,"Ashe County, North Carolina",0.4
1636,"Brown County, Wisconsin",0.4
1637,"Vilas County, Wisconsin",0.4
1638,"Bond County, Illinois",0.4
1639,"Dickson County, Tennessee",0.4
1640,"Marshall County, South Dakota",0.4
1641,"Washita County, Oklahoma",0.4
1642,"Vermilion County, Illinois",0.4
1643,"Clackamas County, Oregon",0.4
1644,"Vermilion Parish, Louisiana",0.4
1645,"Buncombe County, North Carolina",0.4
1646,"Crook County, Oregon",0.4
1647,"Dyer County, Tennessee",0.4
1648,"Brunswick County, Virginia",0.4
1649,"Sampson County, North Carolina",0.3
1650,"Appling County, Georgia",0.3
1651,"Grayson County, Texas",0.3
1652,"Pecos County, Texas",0.3
1653,"Marion County, Iowa",0.3
1654,"Stokes County, North Carolina",0.3
1655,"Onondaga County, New York",0.3
1656,"Currituck County, North Carolina",0.3
1657,"Cumberland County, North Carolina",0.3
1658,"Polk County, Texas",0.3
1659,"Kimble County, Texas",0.3
1660,"Ontario County, New York",0.3
1661,"Stanly County, North Carolina",0.3
1662,"Polk County, North Carolina",0.3
1663,"Calhoun County, Georgia",0.3
1664,"Howard County, Texas",0.3
1665,"Floyd County, Georgia",0.3
1666,"Louisa County, Iowa",0.3
1667,"Montgomery County, Texas",0.3
1668,"Moore County, North Carolina",0.3
1669,"Montague County, Texas",0.3
1670,"Brantley County, Georgia",0.3
1671,"Brunswick County, North Carolina",0.3
1672,"Tompkins County, New York",0.3
1673,"Ulster County, New York",0.3
1674,"Chatham County, Georgia",0.3
1675,"Harrison County, Texas",0.3
1676,"Early County, Georgia",0.3
1677,"Charlton County, Georgia",0.3
1678,"Johnson County, Iowa",0.3
1679,"Medina County, Texas",0.3
1680,"Westchester County, New York",0.3
1681,"Avery County, North Carolina",0.3
1682,"Nash County, North Carolina",0.3
1683,"Evans County, Georgia",0.3
1684,"Lee County, Iowa",0.3
1685,"Chattooga County, Georgia",0.3
1686,"Oldham County, Texas",0.3
1687,"Queens County, New York",0.3
1688,"Coweta County, Georgia",0.3
1689,"Clarke County, Georgia",0.3
1690,"Lee County, Texas",0.3
1691,"Rensselaer County, New York",0.3
1692,"Harnett County, North Carolina",0.3
1693,"Dougherty County, Georgia",0.3
1694,"Richmond County, New York",0.3
1695,"Barrow County, Georgia",0.3
1696,"Haywood County, North Carolina",0.3
1697,"Hardeman County, Texas",0.3
1698,"Llano County, Texas",0.3
1699,"Schenectady County, New York",0.3
1700,"Malheur County, Oregon",0.3
1701,"Madison County, Indiana",0.3
1702,"Tyrrell County, North Carolina",0.3
1703,"Washington County, Idaho",0.3
1704,"Gregory County, South Dakota",0.3
1705,"Carroll County, Illinois",0.3
1706,"Jackson County, Oregon",0.3
1707,"Rock Island County, Illinois",0.3
1708,"Berrien County, Michigan",0.3
1709,"Polk County, Oregon",0.3
1710,"Tillamook County, Oregon",0.3
1711,"Umatilla County, Oregon",0.3
1712,"Piatt County, Illinois",0.3
1713,"Wallowa County, Oregon",0.3
1714,"Wasco County, Oregon",0.3
1715,"Peoria County, Illinois",0.3
1716,"Ogle County, Illinois",0.3
1717,"Allegheny County, Pennsylvania",0.3
1718,"Berks County, Pennsylvania",0.3
1719,"Shelby County, Illinois",0.3
1720,"Wagoner County, Oklahoma",0.3
1721,"Bucks County, Pennsylvania",0.3
1722,"Tulsa County, Oklahoma",0.3
1723,"Davidson County, Tennessee",0.3
1724,"Dearborn County, Indiana",0.3
1725,"Logan County, Oklahoma",0.3
1726,"Love County, Oklahoma",0.3
1727,"Clay County, Tennessee",0.3
1728,"Mayes County, Oklahoma",0.3
1729,"Cheatham County, Tennessee",0.3
1730,"Nowata County, Oklahoma",0.3
1731,"Oklahoma County, Oklahoma",0.3
1732,"Osage County, Oklahoma",0.3
1733,"Gooding County, Idaho",0.3
1734,"Latah County, Idaho",0.3
1735,"Stephens County, Oklahoma",0.3
1736,"Minnehaha County, South Dakota",0.3
1737,"Miner County, South Dakota",0.3
1738,"Charles Mix County, South Dakota",0.3
1739,"Butler County, Pennsylvania",0.3
1740,"Fentress County, Tennessee",0.3
1741,"Lee County, Illinois",0.3
1742,"Montgomery County, Pennsylvania",0.3
1743,"Orangeburg County, South Carolina",0.3
1744,"Northampton County, Pennsylvania",0.3
1745,"Northumberland County, Pennsylvania",0.3
1746,"Sullivan County, Pennsylvania",0.3
1747,"Susquehanna County, Pennsylvania",0.3
1748,"Westmoreland County, Pennsylvania",0.3
1749,"York County, Pennsylvania",0.3
1750,"Newport County, Rhode Island",0.3
1751,"Providence County, Rhode Island",0.3
1752,"Washington County, Rhode Island",0.3
1753,"Greenwood County, South Carolina",0.3
1754,"Allendale County, South Carolina",0.3
1755,"Greenville County, South Carolina",0.3
1756,"Henry County, Illinois",0.3
1757,"Saluda County, South Carolina",0.3
1758,"Lancaster County, Pennsylvania",0.3
1759,"Campbell County, South Dakota",0.3
1760,"Juniata County, Pennsylvania",0.3
1761,"Cameron County, Pennsylvania",0.3
1762,"Centre County, Pennsylvania",0.3
1763,"Chester County, Pennsylvania",0.3
1764,"Cook County, Illinois",0.3
1765,"Mercer County, Illinois",0.3
1766,"Crawford County, Illinois",0.3
1767,"Columbia County, Pennsylvania",0.3
1768,"Cumberland County, Pennsylvania",0.3
1769,"Delaware County, Pennsylvania",0.3
1770,"Elk County, Pennsylvania",0.3
1771,"Erie County, Pennsylvania",0.3
1772,"Cumberland County, Illinois",0.3
1773,"Huntingdon County, Pennsylvania",0.3
1774,"Macoupin County, Illinois",0.3
1775,"Macon County, Illinois",0.3
1776,"Delaware County, Indiana",0.3
1777,"Franklin County, Indiana",0.3
1778,"Fort Bend County, Texas",0.3
1779,"Madison County, Georgia",0.3
1780,"Sargent County, North Dakota",0.3
1781,"Tipton County, Indiana",0.3
1782,"Newton County, Georgia",0.3
1783,"Spencer County, Indiana",0.3
1784,"Auglaize County, Ohio",0.3
1785,"Belmont County, Ohio",0.3
1786,"Brown County, Ohio",0.3
1787,"Bell County, Texas",0.3
1788,"Clermont County, Ohio",0.3
1789,"Cuyahoga County, Ohio",0.3
1790,"Defiance County, Ohio",0.3
1791,"Bandera County, Texas",0.3
1792,"Erie County, Ohio",0.3
1793,"Fayette County, Ohio",0.3
1794,"Franklin County, Ohio",0.3
1795,"Vanderburgh County, Indiana",0.3
1796,"Warrick County, Indiana",0.3
1797,"Hamilton County, Ohio",0.3
1798,"Whitley County, Indiana",0.3
1799,"Fisher County, Texas",0.3
1800,"Greene County, Georgia",0.3
1801,"Gwinnett County, Georgia",0.3
1802,"Watauga County, North Carolina",0.3
1803,"Yadkin County, North Carolina",0.3
1804,"Cedar County, Iowa",0.3
1805,"Harris County, Georgia",0.3
1806,"Carroll County, Iowa",0.3
1807,"Cavalier County, North Dakota",0.3
1808,"Dallas County, Texas",0.3
1809,"Dunn County, North Dakota",0.3
1810,"Calhoun County, Iowa",0.3
1811,"Liberty County, Georgia",0.3
1812,"Comal County, Texas",0.3
1813,"Collingsworth County, Texas",0.3
1814,"Richmond County, Georgia",0.3
1815,"Parke County, Indiana",0.3
1816,"Grant County, Indiana",0.3
1817,"Scioto County, Ohio",0.3
1818,"Macon County, Tennessee",0.3
1819,"Tuscarawas County, Ohio",0.3
1820,"Union County, Ohio",0.3
1821,"Van Wert County, Ohio",0.3
1822,"McMinn County, Tennessee",0.3
1823,"Washington County, Ohio",0.3
1824,"Loudon County, Tennessee",0.3
1825,"White County, Georgia",0.3
1826,"Whitfield County, Georgia",0.3
1827,"Houston County, Tennessee",0.3
1828,"Henry County, Indiana",0.3
1829,"Harrison County, Indiana",0.3
1830,"Hardin County, Tennessee",0.3
1831,"Ada County, Idaho",0.3
1832,"Custer County, Oklahoma",0.3
1833,"Shelby County, Ohio",0.3
1834,"Knox County, Indiana",0.3
1835,"Wilson County, Tennessee",0.3
1836,"Pickett County, Tennessee",0.3
1837,"Hocking County, Ohio",0.3
1838,"Newton County, Indiana",0.3
1839,"Montgomery County, Indiana",0.3
1840,"Lorain County, Ohio",0.3
1841,"Sumner County, Tennessee",0.3
1842,"Mahoning County, Ohio",0.3
1843,"Sullivan County, Tennessee",0.3
1844,"Medina County, Ohio",0.3
1845,"Meigs County, Ohio",0.3
1846,"Shelby County, Tennessee",0.3
1847,"Marion County, Indiana",0.3
1848,"Troup County, Georgia",0.3
1849,"Madison County, New York",0.3
1850,"Paulding County, Ohio",0.3
1851,"Pickaway County, Ohio",0.3
1852,"Monroe County, New York",0.3
1853,"Marion County, Florida",0.3
1854,"Barbour County, West Virginia",0.3
1855,"San Benito County, California",0.3
1856,"Monterey County, California",0.3
1857,"Nevada County, California",0.3
1858,"Mercer County, Kentucky",0.3
1859,"Preston County, West Virginia",0.3
1860,"Mason County, Kentucky",0.3
1861,"Riverside County, California",0.3
1862,"Marshall County, Kentucky",0.3
1863,"Sacramento County, California",0.3
1864,"San Bernardino County, California",0.3
1865,"Boone County, Missouri",0.3
1866,"Daviess County, Missouri",0.3
1867,"San Diego County, California",0.3
1868,"Mercer County, West Virginia",0.3
1869,"Livingston County, Kentucky",0.3
1870,"Harrison County, Missouri",0.3
1871,"Howard County, Missouri",0.3
1872,"Santa Barbara County, California",0.3
1873,"Iron County, Missouri",0.3
1874,"Buchanan County, Missouri",0.3
1875,"Bates County, Missouri",0.3
1876,"Jefferson County, Missouri",0.3
1877,"Sunflower County, Mississippi",0.3
1878,"Fond du Lac County, Wisconsin",0.3
1879,"Panola County, Mississippi",0.3
1880,"Perry County, Mississippi",0.3
1881,"Prentiss County, Mississippi",0.3
1882,"Rankin County, Mississippi",0.3
1883,"Fresno County, California",0.3
1884,"Warren County, Kentucky",0.3
1885,"Chippewa County, Wisconsin",0.3
1886,"Tallahatchie County, Mississippi",0.3
1887,"Marin County, California",0.3
1888,"Walthall County, Mississippi",0.3
1889,"Barron County, Wisconsin",0.3
1890,"Washington County, Mississippi",0.3
1891,"Webster County, Mississippi",0.3
1892,"Adams County, Wisconsin",0.3
1893,"Winston County, Mississippi",0.3
1894,"Madera County, California",0.3
1895,"Wetzel County, West Virginia",0.3
1896,"Jackson County, Missouri",0.3
1897,"Kenton County, Kentucky",0.3
1898,"Saline County, Kansas",0.3
1899,"Clark County, Washington",0.3
1900,"Denver County, Colorado",0.3
1901,"Bullitt County, Kentucky",0.3
1902,"King County, Washington",0.3
1903,"Grays Harbor County, Washington",0.3
1904,"St. Louis city, Missouri",0.3
1905,"Douglas County, Washington",0.3
1906,"Carbon County, Montana",0.3
1907,"Garfield County, Colorado",0.3
1908,"Benton County, Washington",0.3
1909,"Pierce County, Washington",0.3
1910,"Baldwin County, Alabama",0.3
1911,"Virginia Beach city, Virginia",0.3
1912,"Jefferson County, Colorado",0.3
1913,"Richmond city, Virginia",0.3
1914,"Portsmouth city, Virginia",0.3
1915,"Manassas Park city, Virginia",0.3
1916,"Lewis and Clark County, Montana",0.3
1917,"Chesapeake city, Virginia",0.3
1918,"Boulder County, Colorado",0.3
1919,"Arapahoe County, Colorado",0.3
1920,"Santa Clara County, California",0.3
1921,"Brooke County, West Virginia",0.3
1922,"Jefferson County, Kentucky",0.3
1923,"Kanawha County, West Virginia",0.3
1924,"Hardin County, Kentucky",0.3
1925,"Greenup County, Kentucky",0.3
1926,"Sierra County, California",0.3
1927,"Solano County, California",0.3
1928,"Grant County, Kentucky",0.3
1929,"New Madrid County, Missouri",0.3
1930,"Tulare County, California",0.3
1931,"Christian County, Kentucky",0.3
1932,"Pulaski County, Missouri",0.3
1933,"Lewis County, New York",0.3
1934,"Yakima County, Washington",0.3
1935,"Tuolumne County, California",0.3
1936,"Whatcom County, Washington",0.3
1937,"Ventura County, California",0.3
1938,"Snohomish County, Washington",0.3
1939,"Saline County, Missouri",0.3
1940,"East Baton Rouge Parish, Louisiana",0.3
1941,"Yell County, Arkansas",0.3
